Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Untitled, (text from United Nations report, page 29-30)",Gilles Peress,4554,"(French, born 1946)",(French),(1946),(0),(Male),1994,Gelatin silver print,"36 × 55"" (91.4 × 139.7 cm)",Gift of Susan and Peter MacGill,45.2007.21,Photograph,Photography,2007-02-15,N,105846,,,,,,91.4402,,,139.7003,,
Untitled from Women are Beautiful,Garry Winogrand,6399,"(American, 1928–1984)",(American),(1928),(1984),(Male),1969,Gelatin silver print,"8 5/8 × 13"" (21.9 × 33.1 cm)",Gift of Mitchell Deutsch,357.1990,Photograph,Photography,1990-06-07,N,51681,,,,,,21.9,,,33.1,,
18 Janv 1984 from Paysages,Gérard Duchène,1636,"(French, born 1944)",(French),(1944),(0),(Male),1984,One from a portfolio of ten relief prints,"composition and sheet: 15 5/8 x 11 5/8"" (39.7 x 29.6 cm)",The Philip and Lynn Straus Foundation Fund and Purchase,298.1989.8,Print,Drawings & Prints,1989-10-12,Y,135032,http://www.moma.org/collection/works/135032,http://www.moma.org/media/W1siZiIsIjE5MDA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b05d9a2d10f9b10,,,,39.7,,,29.6,,
Exterior section and plan,Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1945-50,Pencil on tracing paper,"21 x 31 1/4"" (53.3 x 79.4 cm)","Mies van der Rohe Archive, gift of the architect
",MR4511.86,Mies van der Rohe Archive,Architecture & Design,,N,87471,,,,,,53.3401,,,79.3752,,
Mountain 2003 (Berg 2003) from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,5281,"(German, born 1954)",(German),(1954),(0),(Male),2006,One from a portfolio of 27 etching and nyloprints with letterpress additions,"plate: 14 5/16 x 12 5/16"" (36.3 x 31.2 cm); sheet: 30 1/16 x 21"" (76.4 x 53.3 cm)",General Print Fund,301.2011.21,Print,Drawings & Prints,2011-05-16,Y,147929,http://www.moma.org/collection/works/147929,http://www.moma.org/media/W1siZiIsIjIzNTAwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=117a5257f62d8b61,,,,36.3,,,31.2,,
Untitled,Felix Gonzalez-Torres,2233,"(American, born Cuba. 1957–1996)",(American),(1957),(1996),(Male),1992,Leather-bound embossed album with 24 leaves,"14 × 14 × 2"" (35.6 × 35.6 × 5.1 cm)",The Abramson Collection. Gift of Stephen and Sandra Abramson,448.2015.14,Photograph,Photography,2015-05-28,N,194497,,,,5.08001016,,35.5600711201,,,35.5600711201,,
"Adventures of an *, Storyboard","John Hubley, Faith Hubley","33845, 32272","(American, 1914–1977) (American, 1924–2001)",(American) (American),(1914) (1924),(1977) (2001),(Male) (Female),1957,,13 7/8 x 6,"Hubley Collection, Deposit with Department of Film. Special Collections, MoMA.",886.1998,Work on Paper,Film,,N,111910,,,,,,35.2425704851,,,15.2400304801,,
"Court House Project, Plan",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1935,Pencil on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)","Mies van der Rohe Archive, gift of the architect
",MR43.203,Mies van der Rohe Archive,Architecture & Design,,Y,170160,http://www.moma.org/collection/works/170160,http://www.moma.org/media/W1siZiIsIjI3MjA2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8ef08063324dffc,,,,41.9101,,,29.8451,,
"VICTORIA, QUEEN OF ENGLAND (1819-1901)",André-Adolphe-Eugène Disdéri,1552,"(French, 1819–1889)",(French),(1819),(1889),(Male),1868,Albumen silver print,"3 1/2 × 2 1/4"" (9 × 5.7 cm)",,178.1982.44,Photograph,Photography,1982-05-13,N,47569,,,,,,9.0,,,5.7,,
Self-Portrait,Théo van Rysselberghe,5099,"(Belgian, 1862–1926)",(Belgian),(1862),(1926),(Male),(1888-89),Pastel and crayon on paper,"13 3/8 x 10 1/8"" (34 x 25.7 cm)",Gift of Mr. and Mrs. Hugo Perls,243.1956,Drawing,Drawings & Prints,1956-05-08,Y,35486,http://www.moma.org/collection/works/35486,http://www.moma.org/media/W1siZiIsIjc2MjYzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=aa5385d28a7242bb,,,,34.0,,,25.7,,
